cod_amostra;ct_medias;Legenda
42850001;26.905;Baseline
42850002;33.105;Baseline
42850003;35.545;Baseline
42850004;27.43;Baseline
42850005;29.37;Baseline
42850006;36.13;Baseline
42850007;31.225;Baseline
42850008;39.46;Baseline
42850009;35.04;Baseline
42850010;31.175;Baseline
42850011;31.195;Baseline
42850012;36.23;Baseline
42850013;31.78;Baseline
42850014;31.605;Baseline
42850015;36.17;Baseline
42850016;36.04;Baseline
42850017;31.17;Baseline
42850018;30.74;Baseline
42850019;32.395;Baseline
42850020;32.305;Baseline
42850022;31.005;Baseline
42850024;37.28;Baseline
42850025;37.21;Baseline
42850027;35.125;Baseline
42850028;34.35;Baseline
42850029;33.72;Baseline
42850030;28.99;Baseline
42850031;26.81;Baseline
42850032;36.77;Baseline
42850033;29.335;Baseline
42850034;23.93;Baseline
42850035;30.135;Baseline
42850036;29.74;Baseline
42850037;33.965;Baseline
42850038;25.555;Baseline
42850039;30.75;Baseline
42850040;31.72;Baseline
42850041;27.115;Baseline
42850042;32.365;Baseline
42850043;30.615;Baseline
42850044;29.7;Baseline
42850045;38.615;Baseline
42850046;34.68;Baseline
42850048;32.17;Baseline
42850049;33.35;Baseline
42850050;32;Baseline
42850051;29.76;Baseline
42850052;27.04;Baseline
42850053;29.355;Baseline
42850055;24.39;Baseline
42850056;28.655;Baseline
42850057;25.425;Baseline
42850058;28.145;Baseline
42850059;25.085;Baseline
42850060;27.49;Baseline
42850061;30.98;Baseline
42850062;32.835;Baseline
42850063;33.88;Baseline
42850064;34.405;Baseline
42850065;36.83;Baseline
42850066;28.925;Baseline
42850067;31.95;Baseline
42850068;30.69;Baseline
42850069;37.365;Baseline
42850070;32.22;Baseline
42850071;35;Baseline
42850072;29.3;Baseline
42850073;32.27;Baseline
42850074;33.585;Baseline
42850075;33.455;Baseline
42850076;33.725;Baseline
42850077;32.9;Baseline
42850078;30.18;Baseline
42850079;30.425;Baseline
42850080;33.1;Baseline
42850081;28.405;Baseline
42850082;25.875;Baseline
42850083;20.92;Baseline
42850084;27.21;Baseline
42850085;28.16;Baseline
42850086;28.105;Baseline
42850088;32.835;Baseline
42850089;31.645;Baseline
42850090;27.835;Baseline
42850091;28.97;Baseline
42850092;31.66;Baseline
42850093;30.495;Baseline
42850094;28.42;Baseline
42850095;31.91;Baseline
42850096;28.95;Baseline
42850097;32.67;Baseline
42850098;33.885;Baseline
42850099;28.235;Baseline
42850100;27.335;Baseline
42850101;36.515;Baseline
42850102;31.715;Baseline
42850103;32.265;Baseline
42850104;34.52;Baseline
42850105;35.815;Baseline
42850106;29.84;Baseline
42850107;32.35;Baseline
42850108;29.965;Baseline
42850109;32.975;Baseline
